Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:43:35 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:23:05 PM 185158768 185870088   6380724      3.24     88772   4554724  32460952     15.83    391508   9036580       128
11:23:15 PM 185097208 185809008   6446040      3.28     88792   4555168  32504712     15.85    391528   9088032       336
11:23:25 PM 185134236 185846088   6366328      3.24     88808   4592776  32555516     15.88    391544   9078424       136
11:23:35 PM 185043332 185755056   6457792      3.28     88824   4592864  32637792     15.92    391560   9190208       116
11:23:45 PM 185006920 185718804   6493712      3.30     88840   4592952  32630784     15.91    391576   9205548       156
11:23:55 PM 185104756 185817284   6395972      3.25     88856   4593044  32515652     15.86    391592   9054088       136
11:24:05 PM 185106816 185818968   6396052      3.25     88872   4593124  32521388     15.86    391608   9107724       124
11:24:15 PM 185105504 185818100   6395912      3.25     88904   4593564  32527640     15.86    391640   9121968       256
11:24:25 PM 185073028 185785908   6424640      3.27     88936   4593632  32575036     15.89    391672   9131816        88
11:24:35 PM 184956564 185669348   6544036      3.33     89000   4593748  32653048     15.92    391732   9247116        64
11:24:45 PM 184948568 185661564   6554468      3.33     89056   4593812  32679228     15.94    391792   9285204        96
11:24:55 PM 184940712 185653796   6562556      3.34     89080   4593920  32680792     15.94    391816   9248724        68
11:25:05 PM 184863540 185576752   6639768      3.38     89096   4594016  32675052     15.93    391832   9287636       184
11:25:15 PM 184851472 185565196   6653220      3.38     89112   4594364  32726872     15.96    391848   9332448        40
11:25:25 PM 185060592 185774680   6437012      3.27     89128   4594460  32535464     15.87    391864   9104460        36
11:25:35 PM 185132904 185846736   6370224      3.24     89144   4594548  32460700     15.83    391884   9053168        12
11:25:45 PM 185047804 185761692   6351544      3.23     89160   4697712  32535264     15.87    391900   9145004       280
11:25:55 PM 185097096 185811164   6300216      3.20     89176   4697804  32506052     15.85    391916   9073776       264
11:26:05 PM 184884704 185599156   6360272      3.23     89192   4854140  32682792     15.94    391932   9289356       260
11:26:15 PM 184788720 185503592   6450548      3.28     89208   4854568  32748428     15.97    391948   9374760       468
11:26:25 PM 184845380 185560296   6394344      3.25     89228   4854648  32760112     15.98    391968   9314040       248
11:26:35 PM 184830092 185545392   6411304      3.26     89244   4854736  32758564     15.98    391984   9360100       252
11:26:45 PM 184733632 185448696   6507580      3.31     89260   4854832  32801944     16.00    392000   9438416       244
